day,hour_start,hour_end,group,demand,coverage,slack
8,08:00,09:00,6,18,27,9
8,08:00,09:00,7,23,23,0
8,08:00,09:00,8,24,24,0
8,08:00,09:00,9,27,27,0
8,08:00,09:00,10,26,26,0
8,09:00,10:00,1,11,22,11
8,09:00,10:00,2,16,16,0
8,09:00,10:00,3,24,24,0
8,09:00,10:00,4,24,24,0
8,09:00,10:00,5,16,30,14
8,09:00,10:00,6,23,28,5
8,09:00,10:00,7,24,24,0
8,09:00,10:00,8,17,25,8
8,09:00,10:00,9,27,30,3
8,09:00,10:00,10,20,29,9
8,10:00,11:00,1,12,22,10
8,10:00,11:00,2,21,21,0
8,10:00,11:00,3,25,25,0
8,10:00,11:00,4,19,24,5
8,10:00,11:00,5,18,30,12
8,10:00,11:00,6,30,30,0
8,10:00,11:00,7,13,24,11
8,10:00,11:00,8,24,25,1
8,10:00,11:00,9,29,30,1
8,10:00,11:00,10,21,29,8
8,11:00,12:00,1,13,38,25
8,11:00,12:00,2,25,29,4
8,11:00,12:00,3,19,53,34
8,11:00,12:00,4,20,35,15
8,11:00,12:00,5,19,50,31
8,11:00,12:00,6,10,50,40
8,11:00,12:00,7,29,35,6
8,11:00,12:00,8,11,25,14
8,11:00,12:00,9,13,40,27
8,11:00,12:00,10,13,52,39
8,12:00,13:00,1,16,16,0
8,12:00,13:00,2,14,15,1
8,12:00,13:00,3,28,29,1
8,12:00,13:00,4,16,16,0
8,12:00,13:00,5,14,20,6
8,12:00,13:00,6,23,23,0
8,12:00,13:00,7,12,12,0
8,12:00,13:00,8,22,22,0
8,12:00,13:00,9,13,13,0
8,12:00,13:00,10,26,26,0
8,13:00,14:00,1,19,19,0
8,13:00,14:00,2,15,15,0
8,13:00,14:00,3,29,29,0
8,13:00,14:00,4,22,22,0
8,13:00,14:00,5,20,20,0
8,13:00,14:00,6,22,22,0
8,13:00,14:00,7,23,23,0
8,13:00,14:00,8,21,21,0
8,13:00,14:00,9,12,12,0
8,13:00,14:00,10,23,23,0
8,14:00,15:00,1,16,19,3
8,14:00,15:00,2,10,10,0
8,14:00,15:00,3,15,31,16
8,14:00,15:00,4,29,31,2
8,14:00,15:00,5,16,20,4
8,14:00,15:00,6,11,20,9
8,14:00,15:00,7,13,23,10
8,14:00,15:00,8,30,30,0
8,14:00,15:00,9,26,26,0
8,14:00,15:00,10,20,23,3
8,15:00,16:00,1,20,26,6
8,15:00,16:00,2,25,25,0
8,15:00,16:00,3,17,29,12
8,15:00,16:00,4,18,32,14
8,15:00,16:00,5,13,24,11
8,15:00,16:00,6,12,28,16
8,15:00,16:00,7,18,28,10
8,15:00,16:00,8,29,55,26
8,15:00,16:00,9,15,30,15
8,15:00,16:00,10,17,26,9
8,16:00,17:00,1,26,26,0
8,16:00,17:00,2,21,23,2
8,16:00,17:00,3,29,29,0
8,16:00,17:00,4,22,32,10
8,16:00,17:00,5,24,24,0
8,16:00,17:00,6,22,28,6
8,16:00,17:00,7,19,28,9
8,16:00,17:00,8,25,34,9
8,16:00,17:00,9,30,30,0
8,16:00,17:00,10,20,26,6
8,17:00,18:00,1,18,23,5
8,17:00,18:00,2,18,23,5
8,17:00,18:00,3,29,29,0
8,17:00,18:00,4,21,21,0
8,17:00,18:00,5,24,24,0
8,17:00,18:00,6,10,28,18
8,17:00,18:00,7,11,16,5
8,17:00,18:00,8,27,34,7
8,17:00,18:00,9,15,28,13
8,17:00,18:00,10,26,26,0
8,18:00,19:00,1,23,23,0
8,18:00,19:00,2,23,23,0
8,18:00,19:00,3,26,26,0
8,18:00,19:00,4,12,12,0
8,18:00,19:00,5,21,24,3
8,18:00,19:00,6,28,28,0
8,18:00,19:00,7,16,16,0
8,18:00,19:00,8,25,25,0
8,18:00,19:00,9,14,14,0
8,18:00,19:00,10,24,26,2
9,08:00,09:00,1,19,19,0
9,08:00,09:00,2,16,16,0
9,08:00,09:00,3,6,22,16
9,08:00,09:00,4,12,29,17
9,08:00,09:00,5,28,28,0
9,08:00,09:00,6,20,20,0
9,08:00,09:00,7,6,14,8
9,08:00,09:00,8,25,25,0
9,08:00,09:00,9,11,11,0
9,08:00,09:00,10,4,16,12
9,09:00,10:00,1,9,19,10
9,09:00,10:00,2,3,16,13
9,09:00,10:00,3,9,22,13
9,09:00,10:00,4,29,29,0
9,09:00,10:00,5,15,28,13
9,09:00,10:00,6,7,22,15
9,09:00,10:00,7,14,14,0
9,09:00,10:00,8,12,25,13
9,09:00,10:00,9,17,26,9
9,09:00,10:00,10,9,20,11
9,10:00,11:00,1,17,19,2
9,10:00,11:00,2,3,16,13
9,10:00,11:00,3,29,29,0
9,10:00,11:00,4,27,29,2
9,10:00,11:00,5,19,28,9
9,10:00,11:00,6,26,26,0
9,10:00,11:00,7,25,25,0
9,10:00,11:00,8,4,25,21
9,10:00,11:00,9,9,26,17
9,10:00,11:00,10,23,23,0
9,11:00,12:00,1,23,39,16
9,11:00,12:00,2,21,36,15
9,11:00,12:00,3,29,29,0
9,11:00,12:00,4,27,59,32
9,11:00,12:00,5,4,28,24
9,11:00,12:00,6,13,39,26
9,11:00,12:00,7,9,38,29
9,11:00,12:00,8,29,46,17
9,11:00,12:00,9,10,33,23
9,11:00,12:00,10,23,23,0
9,12:00,13:00,1,19,20,1
9,12:00,13:00,2,2,20,18
9,12:00,13:00,3,3,26,23
9,12:00,13:00,4,10,30,20
9,12:00,13:00,5,22,22,0
9,12:00,13:00,6,19,19,0
9,12:00,13:00,7,6,24,18
9,12:00,13:00,8,21,21,0
9,12:00,13:00,9,22,22,0
9,12:00,13:00,10,7,7,0
9,13:00,14:00,1,20,20,0
9,13:00,14:00,2,5,20,15
9,13:00,14:00,3,22,26,4
9,13:00,14:00,4,30,30,0
9,13:00,14:00,5,11,22,11
9,13:00,14:00,6,11,17,6
9,13:00,14:00,7,24,24,0
9,13:00,14:00,8,18,21,3
9,13:00,14:00,9,6,7,1
9,13:00,14:00,10,3,3,0
9,14:00,15:00,1,18,20,2
9,14:00,15:00,2,30,30,0
9,14:00,15:00,3,19,19,0
9,14:00,15:00,4,11,30,19
9,14:00,15:00,5,24,25,1
9,14:00,15:00,6,13,25,12
9,14:00,15:00,7,4,29,25
9,14:00,15:00,8,15,21,6
9,14:00,15:00,9,1,7,6
9,14:00,15:00,10,3,8,5
9,15:00,16:00,1,10,16,6
9,15:00,16:00,2,13,19,6
9,15:00,16:00,3,22,36,14
9,15:00,16:00,4,9,23,14
9,15:00,16:00,5,27,47,20
9,15:00,16:00,6,1,22,21
9,15:00,16:00,7,22,25,3
9,15:00,16:00,8,10,18,8
9,15:00,16:00,9,25,26,1
9,15:00,16:00,10,10,30,20
9,16:00,17:00,1,5,16,11
9,16:00,17:00,2,17,19,2
9,16:00,17:00,3,3,17,14
9,16:00,17:00,4,7,23,16
9,16:00,17:00,5,4,25,21
9,16:00,17:00,6,7,22,15
9,16:00,17:00,7,2,25,23
9,16:00,17:00,8,4,18,14
9,16:00,17:00,9,13,26,13
9,16:00,17:00,10,12,30,18
9,17:00,18:00,1,1,16,15
9,17:00,18:00,2,19,19,0
9,17:00,18:00,3,7,17,10
9,17:00,18:00,4,14,23,9
9,17:00,18:00,5,25,25,0
9,17:00,18:00,6,22,22,0
9,17:00,18:00,7,25,25,0
9,17:00,18:00,8,18,18,0
9,17:00,18:00,9,8,26,18
9,17:00,18:00,10,30,30,0
9,18:00,19:00,1,16,16,0
9,18:00,19:00,2,9,9,0
9,18:00,19:00,3,17,17,0
9,18:00,19:00,4,23,23,0
9,18:00,19:00,5,22,22,0
9,18:00,19:00,6,10,10,0
9,18:00,19:00,7,9,9,0
9,18:00,19:00,8,9,18,9
9,18:00,19:00,9,26,26,0
9,18:00,19:00,10,22,22,0
10,08:00,09:00,1,24,26,2
10,08:00,09:00,2,4,4,0
10,08:00,09:00,3,19,19,0
10,08:00,09:00,4,14,18,4
10,08:00,09:00,5,15,15,0
10,08:00,09:00,6,28,28,0
10,08:00,09:00,7,19,20,1
10,08:00,09:00,8,13,21,8
10,08:00,09:00,9,15,20,5
10,08:00,09:00,10,1,5,4
10,09:00,10:00,1,30,30,0
10,09:00,10:00,2,23,23,0
10,09:00,10:00,3,3,19,16
10,09:00,10:00,4,28,28,0
10,09:00,10:00,5,12,15,3
10,09:00,10:00,6,8,28,20
10,09:00,10:00,7,21,21,0
10,09:00,10:00,8,22,22,0
10,09:00,10:00,9,23,23,0
10,09:00,10:00,10,5,5,0
10,10:00,11:00,1,18,30,12
10,10:00,11:00,2,13,23,10
10,10:00,11:00,3,2,19,17
10,10:00,11:00,4,4,28,24
10,10:00,11:00,5,8,15,7
10,10:00,11:00,6,18,28,10
10,10:00,11:00,7,14,21,7
10,10:00,11:00,8,30,30,0
10,10:00,11:00,9,29,29,0
10,10:00,11:00,10,4,5,1
10,11:00,12:00,1,28,30,2
10,11:00,12:00,2,7,31,24
10,11:00,12:00,3,8,49,41
10,11:00,12:00,4,19,33,14
10,11:00,12:00,5,27,27,0
10,11:00,12:00,6,4,49,45
10,11:00,12:00,7,23,24,1
10,11:00,12:00,8,5,30,25
10,11:00,12:00,9,21,39,18
10,11:00,12:00,10,29,29,0
10,12:00,13:00,1,4,4,0
10,12:00,13:00,2,27,27,0
10,12:00,13:00,3,9,30,21
10,12:00,13:00,4,15,15,0
10,12:00,13:00,5,7,12,5
10,12:00,13:00,6,13,21,8
10,12:00,13:00,7,4,4,0
10,12:00,13:00,8,9,9,0
10,12:00,13:00,9,19,19,0
10,12:00,13:00,10,21,24,3
10,13:00,14:00,1,20,20,0
10,13:00,14:00,2,16,16,0
10,13:00,14:00,3,30,30,0
10,13:00,14:00,4,18,18,0
10,13:00,14:00,5,26,26,0
10,13:00,14:00,6,21,21,0
10,13:00,14:00,7,15,15,0
10,13:00,14:00,8,6,8,2
10,13:00,14:00,9,13,16,3
10,13:00,14:00,10,2,24,22
10,14:00,15:00,1,4,20,16
10,14:00,15:00,2,9,16,7
10,14:00,15:00,3,25,30,5
10,14:00,15:00,4,28,28,0
10,14:00,15:00,5,15,26,11
10,14:00,15:00,6,27,30,3
10,14:00,15:00,7,26,26,0
10,14:00,15:00,8,9,10,1
10,14:00,15:00,9,20,20,0
10,14:00,15:00,10,18,24,6
10,15:00,16:00,1,27,31,4
10,15:00,16:00,2,13,30,17
10,15:00,16:00,3,13,21,8
10,15:00,16:00,4,14,26,12
10,15:00,16:00,5,4,28,24
10,15:00,16:00,6,26,26,0
10,15:00,16:00,7,29,30,1
10,15:00,16:00,8,27,27,0
10,15:00,16:00,9,12,35,23
10,15:00,16:00,10,4,27,23
10,16:00,17:00,1,12,31,19
10,16:00,17:00,2,30,30,0
10,16:00,17:00,3,18,21,3
10,16:00,17:00,4,26,26,0
10,16:00,17:00,5,22,28,6
10,16:00,17:00,6,26,26,0
10,16:00,17:00,7,30,30,0
10,16:00,17:00,8,25,27,2
10,16:00,17:00,9,7,35,28
10,16:00,17:00,10,1,27,26
10,17:00,18:00,1,7,11,4
10,17:00,18:00,2,14,22,8
10,17:00,18:00,3,5,21,16
10,17:00,18:00,4,8,13,5
10,17:00,18:00,5,14,14,0
10,17:00,18:00,6,26,26,0
10,17:00,18:00,7,3,18,15
10,17:00,18:00,8,27,27,0
10,17:00,18:00,9,18,35,17
10,17:00,18:00,10,16,27,11
10,18:00,19:00,1,11,11,0
10,18:00,19:00,2,7,22,15
10,18:00,19:00,3,21,21,0
10,18:00,19:00,4,3,3,0
10,18:00,19:00,5,7,14,7
10,18:00,19:00,6,17,17,0
10,18:00,19:00,7,7,7,0
10,18:00,19:00,8,17,17,0
10,18:00,19:00,9,25,25,0
10,18:00,19:00,10,27,27,0
